"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17/08/2025 20:01:11,""rayyan-305067170"",""Vocal complexity and sociality in spotted paca (Cuniculus paca)."",2018,""Cuniculus paca"",""spotted paca"","""",""Rodentia"",""Cuniculidae"",""farm"",""group, solitary"",""Yes"",""51"",NA,""401"",""Hand"",""Yes"",""8"",1,"""",""No"",""Yes, preprocessed"","""",""yes"","""",""4096"",""Hanning/Hann"",""90"",""No"",NA,NA,"""",""Raven Pro"",""5"",""Some"",""duration"","""","""","""","""",""max/peak frequency"","""",""minimum frequency, maximum frequency, number of harmonics under 1 kHz"","""","""",""not specified"",""LDA"",""features"",""language not clear"",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067170"",""Vocal complexity and sociality in spotted paca (Cuniculus paca)."",2018,NA,NA,""plos one"",""1932-6203 (Electronic)"",13,1,""e0190961"",""Lima SGC and Sousa-Lima RS and Tokumaru RS and Nogueira-Filho SLG and Nogueira SSC"",""https://pubmed.ncbi.nlm.nih.gov/29364898/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1371/journal.pone.0190961"",""Animals";Behavior, Animal;Biological Evolution;Cuniculidae/*psychology;Female;Linear Models;Male;Models, Psychological;Phylogeny;Psychoacoustics;*Social Behavior;"*Vocalization, Animal"",""29364898"",""PMC5783385"",NA,51,401,1,8";;;;;;;;;;;;;;;;;
"14/10/2025 05:43:57,""rayyan-305067742"",""Structural Classification of Wild Boar (Sus scrofa) Vocalizations."",2016,""Sus scrofa"",""wild boar"","""",""Artiodactyla"",""Suidae"",""farm"",""group"",""Yes"","""",NA,""616"",""Hand, Automated"",""Yes"",""4"",NA,""2-4"",""Yes"",""No"","""",""yes"","""",""1024"",""Hamming"",""50"",""No"",NA,NA,"""",""MIR Toolbox (MATLAB)"",""19"",""No"",""duration"","""","""","""","""","""","""",""mean differential of the dominant frequency (DDF), maximum differential of the dominant frequency (MDDF), standard deviation of the dominant frequency (STDF), mean differential of the normalized root-mean-square (DRMS), standard deviation of the normalized root-mean-square (STRMS), mean differential of the spectral flux (DSF), maximum differential of the spectral flux (MDSF), and standard deviation of the spectral flux (STSF), A25, A50, A75, spectral centroid, spectral entropy, Coefficient'of'variation'of'the'rootMmeanMsquare'of'the'";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"amplitude'(CVA), spectral flatness, spectral flux, zero-crossings"",""dominant frequency, amplitude"","""",""SPSS, MATLAB"",""hierarchical cluster analysis"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067742"",""Structural Classification of Wild Boar (Sus scrofa) Vocalizations."",2016,4,NA,""ethology"",""0179-1613 (Print)"",122,4,""329-342"",""Garcia M and Gingras B and Bowling DL and Herbst CT and Boeckle M and Locatelli Y and Fitch WT"",""https://pubmed.ncbi.nlm.nih.gov/27065507/"",""eng"",NA,""Germany"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1111/eth.12472"","""",""27065507"",""PMC4793927"",NA,NA,616,0,4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17/08/2025 17:31:03,""rayyan-305067080"",""Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana)."",2018,""Rhinopithecus roxellana"",""golden snub-nosed monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""No"",""71"",1826,""311"",""Hand"",""Yes"",""18"",NA,"""",""No"",""No"","""",""yes"",""linear"",""1323"",""Gaussian"","""",""No"",NA,NA,"""",""Praat"",""16"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, range F0, std f0, start f0, end f0, %T_min f0, %T_max f0, meanAMP, minAMP, maxAMP, rangeAMP, HNR, jitter"","""","""","""","""","""","""",""Praat"",""DFA"",""features"","""",""Yes"",""CC BY-NC 4.0"",""x"",""rayyan-305067080"",""Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana)."",2018,6,NA,""american journal of primatology"",""1098-2345 (Electronic)"",80,6,""e22869"",""Fan P and Liu X and Liu R and Li F and Huang T and Wu F and Yao H and Liu D"",""https://pubmed.ncbi.nlm.nih.gov/29767431/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22869"",""Animals";China;Colobinae/*physiology;Female;Male;Sex Characteristics;*Social Behavior;Sound Spectrography;"Vocalization, Animal/*classification"",""29767431"",""PMC6032912"",NA,71,311,0,18";;;;;;;;;;;;;;;;;;;;
"20/08/2025 21:30:32,""rayyan-305067090"",""Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions."",2017,""Alouatta pigra"",""Yucatán black howler monkey"","""",""Primates"",""Atelidae"",""field"",""group"",""Yes"",""20"",NA,""540"",""Hand"",""Yes"",""12"",NA,"""",""No"",""No"","""",""yes"",""linear"",""256"",""Hanning/Hann"",""not reported"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""8"",""No"",""duration, total power"","""","""","""",""min frequency, max frequency, bandwidth, Q25, Q50, entropy"","""","""","""","""","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067090"",""Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions."",2017,5,NA,""american journal of primatology"",""1098-2345 (Electronic)"",79,5,"""",""Briseño-Jaramillo M and Biquand V and Estrada A and Lemasson A"",""https://pubmed.ncbi.nlm.nih.gov/28095604/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22630"",""Acoustics";Alouatta/*physiology;Animals;Male;Mexico;Sex Factors;*Social Behavior;"*Vocalization, Animal"",""28095604"","""",NA,20,540,0,12";;;;;;;;;;;;;;;;;;;;;
"20/08/2025 21:50:59,""rayyan-305067091"",""Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire."",2023,""Varecia variegata"",""black-and-white ruffed lemur"","""",""Primates"",""Lemuridae"",""field"",""group"",""Unknown"",""31"",NA,""688"",""Hand, Automated"",""Yes"",""11"",NA,""3-4"",""No"",""Yes, preprocessed"","""",""yes"",""linear"",""512"",""Hanning/Hann"",""not reported"",""No"",NA,NA,"""",""warbleR"",""33"",""Some"",""duration"",""unit duration, number of units, syllable order, syllable type, # syllable types"","""","""","""","""",""meanfreq, freq.median, freq.Q25, freq.Q75, freq.IQR, time.median, time.Q25, time.Q75, time.IQR, skew, kurt, sp.ent, time.ent, entropy, sfm, meandom, drfange, midindx"","""","""","""",""R"",""DFA, PCA, NbClust"",""features"","""",""No"","""",""x"",""rayyan-305067091"",""Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire."",2023,11,NA,""primates"",""1610-7365 (Electronic)"",64,6,""621-635"",""Batist CH and Razafindraibe MN and Randriamanantena F and Baden AL"",""https://pubmed.ncbi.nlm.nih.gov/37584832/"",""eng"",NA,""Japan"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1007/s10329-023-01083-8"",""Humans";Animals;*Lemuridae;*Lemur;"Madagascar"",""37584832"","""",NA,31,688,0,11";;;;;;;;;;;;;;;;;;;;;;;;
"20/08/2025 22:09:48,""rayyan-305067094"",""Vocal repertoire of the social giant otter."",2014,""Pteronura brasiliensis"",""giant otter"","""",""Carnivora"",""Mustelidae"",""field"",""group"",""Yes"",""43"",6246,""458"",""Hand"",""Yes"",""15"",NA,"""",""Yes"",""No"",""19 subtypes, some analysis of types, but not classified with automated methods"",""yes"",""linear"",""1024"",""Hanning/Hann"",""50"",""No"",NA,NA,"""",""Raven Pro"",""13"",""Some"",""duration"",""number of units"","""","""","""",""max/peak frequency, 3rd quartile frequency"","""",""lowest frequency, highest frequency, start frequency, maximum frequency, end frequency, bandwidth, time to max, time max to end, plateau duration"",""F0, peak frequency"",""custom features: f0 for harmonic, pf for non-harmonic";" the lowest and highest seem to be lowest harmonic and highest harmonic, but unclear"",""R"",""LDA, PERMANOVA, PCoA"",""features"","""",""No"","""",""x"",""rayyan-305067094"",""Vocal repertoire of the social giant otter."",2014,11,NA,""the journal of the acoustical society of america"",""1520-8524 (Electronic)"",136,5,""2861-75"",""Leuchtenberger C and Sousa-Lima R and Duplaix N and Magnusson WE and Mourão G"",""https://pubmed.ncbi.nlm.nih.gov/25373985/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1121/1.4896518"",""Acoustics";Age Factors;Agonistic Behavior;Animals;Brazil;Emotional Intelligence;Feeding Behavior;Female;Grooming;Male;Models, Psychological;Otters/*physiology/psychology;Social Behavior;Sound Spectrography;Territoriality;"*Vocalization, Animal"",""25373985"","""",NA,43,458,0,15";;;;;;;;;;;;
"21/08/2025 19:42:11,""rayyan-305067095"",""The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification"",2016,""Macaca thibetana"",""Tibetan macaque"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"",""43"",534,""126"",""Hand"",""Yes"",""11"",NA,"""",""Yes"",""No"","""",""yes"",""linear"",""1024"",""Hamming"",""50"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""30"",""Some"",""duration"","""",""yes, the start, the end, the center, the maximum amplitude, and the lowest and highest position of the peak frequency contour of the entire call"","""",""peak frequency, min frequency, max frequency, bandwidth"","""","""","""","""","""",""R"",""DFA, PCA, LDA"",""features"","""",""No"","""",""x"",""rayyan-305067095"",""The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification."",2016,9,NA,""american journal of primatology"",""1098-2345 (Electronic)"",78,9,""937-49"",""Bernstein SK and Sheeran LK and Wagner RS and Li JH and Koda H"",""https://pubmed.ncbi.nlm.nih.gov/27243451/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.22564"",""Acoustics";Animals;Copulation;Female;*Macaca;Male;Sound Spectrography;"*Vocalization, Animal"",""27243451"","""",NA,43,126,0,11";;;;;;;;;;;;;;;;;;;;;
"21/08/2025 20:07:51,""rayyan-305067097"",""Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal."",2021,""Arctocephalus pusillus"",""Cape fur seal"","""",""Carnivora"",""Otariidae"",""field"",""group"",""Yes"",""362"",NA,""3825"",""Hand"",""Yes"",""5"",1,"""",""No"",""Yes, preprocessed"","""",""yes"",""linear"",""1024"",""Hamming"",""75"",""Highpass"",100,NA,"""",""Avisoft-SASLab Pro"",""9"",""Some"",""duration"","""","""","""",""fundamental frequency, bandwidth, Q25, Q50, Q75"","""","""",""frequency value of the first, second and third energy peak (Fmax1, Fmax2, Fmax3"; Hz), percentage of energy below 500 Hz for adults' calls (Ebelow500; %) and below 2000 Hz for pups (Ebelow2000;" %)"",""formants"","""",""R"",""LDA, Random Forest"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067097"",""Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal."",2021,10,NA,""royal society open science"",""2054-5703 (Print)"",8,10,""202241"",""Martin M and Gridley T and Harvey Elwen S and Charrier I"",""https://pubmed.ncbi.nlm.nih.gov/34729204/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1098/rsos.202241"","""",""34729204"",""PMC8548791"",NA,362,3825,1,5";;;;;;;;;;;;;;;;;;;;;;;;;
"21/08/2025 02:13:35,""rayyan-305067099"",""The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication"",2021,""Sapajus libidinosus"",""bearded capuchin"","""",""Primates"",""Cebidae"",""field"",""group"",""Yes"",""10"",4037,""389"",""Hand"",""Yes"",""25"",NA,"""",""No"",""Yes, raw"",""https://datadryad.org/dataset/doi:10.5061/dryad.nvx0k6dsn"",""yes"",""linear"",""1024"",""Hamming"",""50"",""No"",NA,NA,"""",""Avisoft-SASLab Pro"",""10"",""Some"",""duration"",""number of units, duration of longest syllable"","""","""",""peak frequency, min frequency, max frequency, bandwidth"","""","""",""pf start, pf end, pf slope"",""peak frequency"","""",""R"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067099"",""The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication."",2021,NA,NA,""folia primatologica";" international journal of primatology"",""1421-9980 (Electronic)"",92,3,""151-163"",""Lisboa CA and Mendes FDC and Silveira M and Aguiar LMS"",""https://pubmed.ncbi.nlm.nih.gov/34350867/"",""eng"",NA,""Netherlands"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1159/000517917"",""Animals";Brazil;Cebinae/*psychology;Female;Male;"*Vocalization, Animal"",""34350867"","""",NA,10,389,0,25";;;;;;;;;;;;;;;;;;;;;;
