rec_id,package
0,not specified
1,SPSS
1,MATLAB
2,Praat
3,SPSS
4,R
5,R
6,R
7,R
8,R
9,SPSS
11,SPSS
13,not specified
14,R
15,SPSS
16,R
17,not specified
19,SPSS
20,Interactive Laboratory System
20,NCSS
21,SPSS
22,JMP Pro
23,SPSS
25,SPSS
26,STATISTICA
28,R
29,not specified
33,R
34,R
34,WEKA
36,R
37,SPSS
38,SPSS
39,SPSS
40,SPSS
43,SPSS
44,SAS
51,MATLAB
52,SPSS
53,SPSS
55,S-PLUS
56,SPSS
57,SPSS
58,MYSTAT
61,SPSS
74,SPSS
77,R
77,SPSS
83,SAS
88,STATISTICA
91,NT-SYS
92,SPSS
93,not specified
96,BMD 07M
97,Python
98,SPSS
99,SPSS
100,Praat
102,MATLAB
104,SPSS
105,MATLAB
106,Deepsqueak
107,MATLAB
109,R
111,Python
111,Stan
112,SPSS
114,SPSS
116,not specified
118,SPSS
119,DeepSqueak
120,MATLAB
123,R
127,JMP (SAS Institute)
129,SPSS
130,R
138,not specified
141,R
142,SPSS
148,not specified
149,MATLAB
150,SPSS
151,SPSS
153,SPSS
159,MATLAB
161,not specified
162,MATLAB
168,not specified
169,R
176,not specified
177,not specified
178,MUPET
185,not specified
187,SPSS
189,R
190,R
191,R
192,STATISTICA
192,R
195,R
196,SPSS
198,SPSS
200,SYSTAT
201,STATISTICA
203,SPSS
204,R
205,not specified
207,R
208,STATISTICA
209,HTK 3.1.1
214,SAS
219,DeepSqueak
