Rayyan ID,methods,clustering,DFA,MDS,PCA,Classifier,Dimensionality reduction,Neural Network
rayyan-305067170,LDA,0,1,0,0,0,0,0
rayyan-305067742,hierarchical cluster analysis,1,0,0,0,0,0,0
rayyan-305067080,DFA,0,1,0,0,0,0,0
rayyan-305067090,DFA,0,1,0,0,0,0,0
rayyan-305067091,"DFA, PCA, NbClust",1,1,0,1,0,0,0
rayyan-305067094,"LDA, PERMANOVA, PCoA",0,1,0,1,0,0,0
rayyan-305067095,"DFA, PCA, LDA",0,1,0,1,0,0,0
rayyan-305067097,"LDA, Random Forest",0,1,0,0,1,0,0
rayyan-305067099,DFA,0,1,0,0,0,0,0
rayyan-305067104,DFA,0,1,0,0,0,0,0
rayyan-305067116,DFA,0,1,0,0,0,0,0
rayyan-305067163,DFA,0,1,0,0,0,0,0
rayyan-305067190,"agglomerative hierarchical clustering, LMM",1,0,0,0,0,0,0
rayyan-305067201,"DFA, two-step clustering",1,1,0,0,0,0,0
rayyan-305067210,"DFA, PCA, agglomerative hierarchical clustering",1,1,0,1,0,0,0
rayyan-305067231,"DFA, PCA, hierarchical clustering",1,1,0,1,0,0,0
rayyan-305067281,"DFA, PCA",0,1,0,1,0,0,0
rayyan-305067326,"LDA, linear predictive coding",0,1,0,0,0,0,0
rayyan-305067332,"DFA, PCA",0,1,0,1,0,0,0
rayyan-305067337,"LDA, K-means clustering, MDS",1,1,1,0,0,0,0
rayyan-305067339,DFA,0,1,0,0,0,0,0
rayyan-305067386,"PCA, two-step clustering",1,0,0,1,0,0,0
rayyan-305067394,UPGMA,0,0,0,0,0,0,0
rayyan-305067514,"DFA, PCA, GMM",0,1,0,1,0,0,0
rayyan-305067532,DFA,0,1,0,0,0,0,0
rayyan-305067679,DFA,0,1,0,0,0,0,0
rayyan-305067770,t-SNE; multi-layer perceptron,0,0,0,0,0,1,1
rayyan-305068102,Partitioning Around Medoids (PAM) clustering,1,0,0,0,0,0,0
rayyan-380414578,DFA,0,1,0,0,0,0,0
rayyan-380414579,"DFA, PCA",0,1,0,1,0,0,0
rayyan-380414581,"DFA, two-step clustering",1,1,0,0,0,0,0
