Rayyan ID,methods,clustering,DFA,MDS,PCA,Classifier,Dimensionality reduction,Neural Network,title,key
rayyan-305067170,LDA,0,1,0,0,0,0,0,Vocal complexity and sociality in spotted paca (Cuniculus paca).,rayyan-305067170
rayyan-305067080,DFA,0,1,0,0,0,0,0,Vocal repertoire of free-ranging adult golden snub-nosed monkeys (Rhinopithecus roxellana).,rayyan-305067080
rayyan-305067090,DFA,0,1,0,0,0,0,0,"Vocal repertoire of free-ranging black howler monkeys' (Alouatta pigra): Call types, contexts, and sex-related contributions.",rayyan-305067090
rayyan-305067091,"DFA, PCA, NbClust",1,1,0,1,0,0,0,Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire.,rayyan-305067091
rayyan-305067094,"LDA, PERMANOVA, PCoA",0,1,0,1,0,0,0,Vocal repertoire of the social giant otter.,rayyan-305067094
rayyan-305067095,"DFA, PCA, LDA",0,1,0,1,0,0,0,The vocal repertoire of Tibetan macaques (Macaca thibetana): A quantitative classification.,rayyan-305067095
rayyan-305067097,"LDA, Random Forest",0,1,0,0,1,0,0,"Vocal repertoire, micro-geographical variation and within-species acoustic partitioning in a highly colonial pinniped, the Cape fur seal.",rayyan-305067097
rayyan-305067099,DFA,0,1,0,0,0,0,0,The Vocal Repertoire of the Bearded Capuchin (Cebidae: Sapajus libidinosus): Implications for Understanding the Complexity of Neotropical Primate Communication.,rayyan-305067099
rayyan-305067104,DFA,0,1,0,0,0,0,0,Not just a pretty song: an overview of the vocal repertoire of Indri indri.,rayyan-305067104
rayyan-305067116,DFA,0,1,0,0,0,0,0,Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls.,rayyan-305067116
rayyan-305067163,DFA,0,1,0,0,0,0,0,"The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality.",rayyan-305067163
rayyan-305067201,"DFA, two-step clustering",1,1,0,0,0,0,0,Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons.,rayyan-305067201
rayyan-305067210,"DFA, PCA, agglomerative hierarchical clustering",1,1,0,1,0,0,0,The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure.,rayyan-305067210
