rec_id,package
0,Raven
1,MATLAB
2,Praat
3,Avisoft-SASLab
4,warbleR
5,Raven
6,Avisoft-SASLab
7,Avisoft-SASLab
8,Avisoft-SASLab
9,Praat
11,BatSound
13,Avisoft-SASLab
14,Praat
15,LMA
16,Raven
17,Avisoft-SASLab
19,Avisoft-SASLab
21,Avisoft-SASLab
22,not specified
23,Raven
25,Avisoft-SASLab
26,MATLAB
26,Praat
28,Raven
29,LMA
29,Praat
33,Luscinia
34,Praat
36,Raven
37,LMA
38,LMA
39,LMA
40,Waves+
43,BatSound
44,Canary
51,LMA
52,Praat
53,Raven
55,Cool Edit
56,BatSound
57,LMA
58,Spectrogram Version 16
61,Cool Edit
74,LMA
74,Avisoft-SASLab
77,Raven
83,AnalookW
88,SoundForge
92,Voice-Identification 700 Sonagraph
93,Kay Sona-Graph
96,Tektronix 564B
97,Praat
98,not specified
99,Raven
100,Praat
102,Praat
104,Raven
106,DeepSqueak
107,MATLAB
109,Raven
109,warbleR
112,Avisoft-SASLab
114,ANA acoustic software
116,ANA acoustic software
118,Avisoft-SASLab
119,DeepSqueak
120,MATLAB
123,A-MUD
127,Raven
129,Avisoft-SASLab
130,Praat
138,not specified
141,Avisoft-SASLab
142,Kay Sona-Graph
148,Avisoft-SASLab
149,MATLAB
150,Avisoft-SASLab
151,Praat
153,LMA
159,MATLAB
161,RTS
161,SIGNAL
162,MATLAB
162,BatSound
169,Raven
176,Kay Sona-Graph
177,MATLAB
185,Raven
187,Kay Sona-Graph
189,Praat
190,Praat
191,STx
191,Praat
191,MATLAB
192,Avisoft-SASLab
195,Praat
195,MATLAB
196,Raven
198,LMA
200,SIGNAL Digital Signal Analysis Language
201,Avisoft-SASLab
203,Avisoft-SASLab
204,Avisoft-SASLab
205,SoundForge
207,Raven
208,Raven
214,Avisoft-SASLab
219,DeepSqueak
