Done?,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,notes,doi,keywords,pubmed_id,pmc_id,PDF files
not available?,rayyan-380414782,Audible signals during intolerant behaviour of Rattus fuscipes,1975,,,Australian Journal of Zoology,0004-959X,23,1,103-112,"Barnett, SA and Stewart, AP",,,,,,,,,,
not available?,rayyan-380414748,"Calling behaviour of the yellow-bellied glider, Petaurus australis Shaw (Marsupialia: Petauridae).",1982,,,Australian Mammalogy,0310-0049,5,2,95-111,"Kavanagh, RP and Rohan-Jones, WG",,,,,,,,,,
not available?,rayyan-380414747,"Vocalisations of adult Northern Quolls, Dasyurus hallucatus.",1994,,,Australian Mammalogy,0310-0049,17,1,43-49,"Dempster, EDITH R",,,,,,,,,,
x,rayyan-380414593,Vocal communication of the wild Japanese monkey,1963,,,Primates,0032-8332,4,2,11-66,"Itani, Junichiro",,,,,,,,,,
x,rayyan-305067912,"Vocal repertoire of the squirrel monkey (Saimiri sciureus), its analysis and significance.",1966,,,Experimental brain research,0014-4819 (Print),1,4,359-84,Winter P and Ploog D and Latta J,https://pubmed.ncbi.nlm.nih.gov/4958770/,eng,,Germany,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1007/BF00237707,"Adaptation, Biological;Animals;*Behavior, Animal;Biological Evolution;*Communication;Female;*Haplorhini;Male;Sound;Tape Recording",4958770,,
x,rayyan-380414703,Catalogue of sounds of the pigtailed macaque (Macaca nemestrina),1967,,,Journal of Zoology,0952-8369,152,3,361-373,"Grimm, RJ",,,,,,,,,,
x,rayyan-380414587,"Vocalizations of the least weasel, Mustela nivalis",1968,,,Journal of Mammalogy,0022-2372,49,3,548-550,"Huff, JN and Price, EO",,,,,,,,,,
x,rayyan-380414700,Comparative studies on vocalization in marmoset monkeys (Hapalidae),1968,,,Folia primatologica,0015-5713,8,1,1-40,"Epple, Gisela",,,,,,,,,,
x,rayyan-380414766,"Sound communications of black-tailed, white-tailed, and Gunnison's prairie dogs",1970,,,American Midland Naturalist,0003-0031,,,167-185,"Waring, George H",,,,,,,,,,
x,rayyan-380414787,"The sounds of the fox squirrel, Sciurus niger rufiventer",1971,,,Journal of Mammalogy,1545-1542,52,3,597-604,"Zelley, R Alan",,,,,,,,,,
